,details_id,Involvement,Level,Total_Applicants
144,dt_145,Hybrid,Entry level,Over 100 applicants
145,dt_146,Hybrid,NA,41 applicants
146,dt_147,Full-time,Mid-Senior level,Over 100 applicants
147,dt_148,Full-time,Mid-Senior level,Over 100 applicants
148,dt_149,Full-time,Associate,Over 100 applicants
149,dt_150,Full-time,Associate,Over 100 applicants
150,dt_151,Hybrid,NA,Over 100 applicants
151,dt_152,Full-time,Mid-Senior level,Over 100 applicants
152,dt_153,Full-time,Associate,Over 100 applicants
153,dt_154,Hybrid,Associate,Over 100 applicants
154,dt_155,Hybrid,Mid-Senior level,3 applicants
155,dt_156,Full-time,NA,72 applicants
156,dt_157,Full-time,Mid-Senior level,21 applicants
157,dt_158,Full-time,NA,Over 100 applicants
158,dt_159,Full-time,Mid-Senior level,Over 100 applicants
159,dt_160,Full-time,Entry level,25 applicants
160,dt_161,Full-time,NA,27 applicants
161,dt_162,Full-time,Mid-Senior level,54 applicants
162,dt_163,Full-time,NA,22 applicants
163,dt_164,Hybrid,NA,69 applicants
164,dt_165,Full-time,NA,87 applicants
165,dt_166,Full-time,Mid-Senior level,Over 100 applicants
166,dt_167,Hybrid,Director,Over 100 applicants
167,dt_168,Full-time,Associate,Over 100 applicants
168,dt_169,Full-time,Mid-Senior level,Over 100 applicants
169,dt_170,Full-time,Associate,Over 100 applicants
170,dt_171,Full-time,Associate,51 applicants
171,dt_172,Full-time,Associate,Over 100 applicants
172,dt_173,Full-time,Mid-Senior level,Over 100 applicants
173,dt_174,Full-time,Mid-Senior level,74 applicants
174,dt_175,Full-time,Mid-Senior level,Over 100 applicants
175,dt_176,Full-time,Mid-Senior level,Over 100 applicants
176,dt_177,Full-time,Mid-Senior level,68 applicants
177,dt_178,Full-time,Mid-Senior level,Over 100 applicants
178,dt_179,Full-time,Mid-Senior level,2 applicants
179,dt_180,Full-time,Associate,39 applicants
180,dt_181,Full-time,Associate,6 applicants
181,dt_182,Full-time,Mid-Senior level,Over 100 applicants
182,dt_183,Full-time,Mid-Senior level,57 applicants
183,dt_184,Full-time,Mid-Senior level,18 applicants
184,dt_185,Full-time,Internship,Over 100 applicants
185,dt_186,Full-time,Mid-Senior level,Over 100 applicants
186,dt_187,NA,Mid-Senior level,42 applicants
187,dt_188,Full-time,Associate,Over 100 applicants
188,dt_189,Full-time,Mid-Senior level,52 applicants
189,dt_190,Full-time,Mid-Senior level,Over 100 applicants
190,dt_191,Full-time,Mid-Senior level,Over 100 applicants
191,dt_192,Hybrid,Mid-Senior level,Over 100 applicants
192,dt_193,Full-time,Entry level,100 applicants
193,dt_194,Full-time,Associate,Over 100 applicants
194,dt_195,Full-time,Mid-Senior level,Over 100 applicants
195,dt_196,Full-time,Mid-Senior level,Over 100 applicants
196,dt_197,Hybrid,NA,91 applicants
197,dt_198,Full-time,NA,Over 100 applicants
198,dt_199,Full-time,NA,2 applicants
199,dt_200,Full-time,NA,Over 100 applicants
200,dt_201,Full-time,Mid-Senior level,29 applicants
201,dt_202,Hybrid,Mid-Senior level,Over 100 applicants
202,dt_203,Full-time,Associate,Over 100 applicants
203,dt_204,Full-time,Associate,32 applicants
204,dt_205,Full-time,Mid-Senior level,Over 100 applicants
205,dt_206,NA,Mid-Senior level,68 applicants
206,dt_207,Full-time,NA,49 applicants
207,dt_208,Full-time,Associate,Over 100 applicants
208,dt_209,Full-time,Mid-Senior level,75 applicants
209,dt_210,Full-time,Mid-Senior level,11 applicants
210,dt_211,Full-time,Associate,Over 100 applicants
211,dt_212,Full-time,Mid-Senior level,82 applicants
212,dt_213,Full-time,Mid-Senior level,Over 100 applicants
213,dt_214,Full-time,Entry level,24 applicants
214,dt_215,Full-time,Entry level,Over 100 applicants
215,dt_216,Full-time,Entry level,Over 100 applicants
216,dt_217,Full-time,NA,43 applicants
217,dt_218,Hybrid,Mid-Senior level,Over 100 applicants
218,dt_219,Full-time,NA,57 applicants
219,dt_220,Full-time,Associate,Over 100 applicants
220,dt_221,Hybrid,Mid-Senior level,80 applicants
221,dt_222,Full-time,Director,55 applicants
222,dt_223,NA,Internship,13 applicants
223,dt_224,Full-time,NA,0 applicants
224,dt_225,Full-time,Associate,82 applicants
225,dt_226,Full-time,NA,1 applicant
226,dt_227,Hybrid,Mid-Senior level,79 applicants
227,dt_228,Full-time,Mid-Senior level,69 applicants
228,dt_229,Full-time,Mid-Senior level,100 applicants
229,dt_230,Hybrid,Internship,Over 100 applicants
230,dt_231,Hybrid,Mid-Senior level,NA
231,dt_232,Hybrid,NA,Over 100 applicants
232,dt_233,Hybrid,NA,Over 100 applicants
233,dt_234,Full-time,Mid-Senior level,Over 100 applicants
234,dt_235,Full-time,Mid-Senior level,57 applicants
235,dt_236,Full-time,NA,1 applicant
236,dt_237,Full-time,Entry level,Over 100 applicants
237,dt_238,Full-time,Mid-Senior level,8 applicants
238,dt_239,Full-time,Mid-Senior level,68 applicants
239,dt_240,Full-time,Associate,99 applicants
240,dt_241,Full-time,Mid-Senior level,56 applicants
241,dt_242,Full-time,Mid-Senior level,Over 100 applicants
242,dt_243,Full-time,Mid-Senior level,Over 100 applicants
243,dt_244,Full-time,Mid-Senior level,Over 100 applicants
244,dt_245,Full-time,Mid-Senior level,23 applicants
245,dt_246,Full-time,Associate,96 applicants
246,dt_247,Full-time,Entry level,39 applicants
247,dt_248,Hybrid,Mid-Senior level,Over 100 applicants
248,dt_249,Full-time,NA,Over 100 applicants
249,dt_250,Full-time,Mid-Senior level,Over 100 applicants
250,dt_251,Full-time,Associate,Over 100 applicants
251,dt_252,Full-time,Associate,Over 100 applicants
252,dt_253,Hybrid,Associate,Over 100 applicants
253,dt_254,Full-time,Entry level,Over 100 applicants
254,dt_255,Full-time,Mid-Senior level,63 applicants
255,dt_256,Full-time,NA,Over 100 applicants
256,dt_257,NA,Entry level,28 applicants
257,dt_258,Full-time,NA,32 applicants
258,dt_259,Full-time,Mid-Senior level,35 applicants
259,dt_260,Hybrid,NA,1 applicant
260,dt_261,Full-time,Mid-Senior level,82 applicants
261,dt_262,Hybrid,Mid-Senior level,Over 100 applicants
262,dt_263,Full-time,NA,94 applicants
263,dt_264,Hybrid,Mid-Senior level,14 applicants
264,dt_265,Full-time,Mid-Senior level,84 applicants
265,dt_266,Full-time,Associate,22 applicants
266,dt_267,Full-time,Associate,26 applicants
267,dt_268,Full-time,Entry level,40 applicants
268,dt_269,Full-time,Associate,Over 100 applicants
269,dt_270,Full-time,Entry level,67 applicants
270,dt_271,Full-time,Director,46 applicants
271,dt_272,Full-time,Mid-Senior level,Over 100 applicants
272,dt_273,Full-time,Mid-Senior level,Over 100 applicants
273,dt_274,Full-time,NA,96 applicants
274,dt_275,Full-time,Mid-Senior level,Over 100 applicants
275,dt_276,Hybrid,Entry level,6 applicants
276,dt_277,Hybrid,Mid-Senior level,83 applicants
277,dt_278,Full-time,Mid-Senior level,Over 100 applicants
278,dt_279,Full-time,Entry level,Over 100 applicants
279,dt_280,Full-time,Mid-Senior level,19 applicants
280,dt_281,Full-time,Associate,46 applicants
281,dt_282,Full-time,Associate,Over 100 applicants
282,dt_283,NA,NA,41 applicants
283,dt_284,Full-time,Mid-Senior level,Over 100 applicants
284,dt_285,Full-time,Associate,Over 100 applicants
285,dt_286,Full-time,NA,4 applicants
286,dt_287,Full-time,Mid-Senior level,Over 100 applicants
287,dt_288,NA,Executive,Over 100 applicants
288,dt_289,Full-time,Mid-Senior level,15 applicants
289,dt_290,Full-time,NA,27 applicants
290,dt_291,Full-time,Mid-Senior level,16 applicants
291,dt_292,Full-time,Associate,11 applicants
292,dt_293,Full-time,NA,8 applicants
293,dt_294,Hybrid,NA,25 applicants
294,dt_295,Full-time,Mid-Senior level,43 applicants
295,dt_296,Full-time,NA,63 applicants
296,dt_297,Full-time,Mid-Senior level,Over 100 applicants
297,dt_298,Hybrid,Mid-Senior level,Over 100 applicants
298,dt_299,Full-time,Entry level,40 applicants
299,dt_300,Full-time,Mid-Senior level,40 applicants
300,dt_301,Hybrid,Associate,Over 100 applicants
301,dt_302,Full-time,Mid-Senior level,Over 100 applicants
302,dt_303,Full-time,Mid-Senior level,1 applicant
303,dt_304,Hybrid,Director,84 applicants
304,dt_305,Full-time,Mid-Senior level,Over 100 applicants
305,dt_306,Full-time,Entry level,36 applicants
306,dt_307,Full-time,Mid-Senior level,41 applicants
307,dt_308,Full-time,NA,2 applicants
308,dt_309,Hybrid,Mid-Senior level,Over 100 applicants
309,dt_310,Full-time,Mid-Senior level,66 applicants
310,dt_311,Full-time,NA,Over 100 applicants
311,dt_312,Full-time,Mid-Senior level,Over 100 applicants
312,dt_313,Full-time,Mid-Senior level,Over 100 applicants
313,dt_314,Full-time,NA,35 applicants
314,dt_315,Hybrid,Associate,86 applicants
315,dt_316,Hybrid,Mid-Senior level,Over 100 applicants
316,dt_317,Full-time,Entry level,Over 100 applicants
317,dt_318,Full-time,Associate,Over 100 applicants
318,dt_319,Full-time,Mid-Senior level,Over 100 applicants
319,dt_320,Full-time,Mid-Senior level,Over 100 applicants
320,dt_321,Full-time,Entry level,7 applicants
321,dt_322,Full-time,Entry level,Over 100 applicants
322,dt_323,Hybrid,NA,17 applicants
323,dt_324,Full-time,Entry level,Over 100 applicants
324,dt_325,Full-time,Entry level,25 applicants
325,dt_326,Full-time,Mid-Senior level,82 applicants
326,dt_327,Full-time,Mid-Senior level,25 applicants
327,dt_328,Full-time,Entry level,Over 100 applicants
328,dt_329,Full-time,Mid-Senior level,Over 100 applicants
329,dt_330,Full-time,NA,79 applicants
330,dt_331,Full-time,Mid-Senior level,Over 100 applicants
331,dt_332,Full-time,Mid-Senior level,Over 100 applicants
332,dt_333,Hybrid,Mid-Senior level,Over 100 applicants
333,dt_334,Full-time,Mid-Senior level,Over 100 applicants
334,dt_335,Full-time,Mid-Senior level,57 applicants
335,dt_336,Full-time,Mid-Senior level,33 applicants
336,dt_337,Full-time,Mid-Senior level,68 applicants
337,dt_338,Full-time,Mid-Senior level,Over 100 applicants
338,dt_339,Full-time,Mid-Senior level,47 applicants
339,dt_340,Full-time,NA,21 applicants
340,dt_341,Full-time,Mid-Senior level,22 applicants
341,dt_342,Full-time,Mid-Senior level,17 applicants
342,dt_343,Full-time,Entry level,30 applicants
343,dt_344,Full-time,NA,29 applicants
344,dt_345,Full-time,Associate,53 applicants
345,dt_346,Full-time,NA,61 applicants
346,dt_347,Hybrid,NA,27 applicants
347,dt_348,Full-time,Associate,38 applicants
348,dt_349,Hybrid,Associate,6 applicants
349,dt_350,Full-time,Entry level,Over 100 applicants
350,dt_351,Full-time,Entry level,Over 100 applicants
351,dt_352,Full-time,Entry level,3 applicants
352,dt_353,Full-time,Mid-Senior level,Over 100 applicants
353,dt_354,Hybrid,Mid-Senior level,9 applicants
354,dt_355,Full-time,Mid-Senior level,78 applicants
355,dt_356,Full-time,Entry level,1 applicant
356,dt_357,Full-time,Entry level,4 applicants
357,dt_358,Full-time,Entry level,4 applicants
358,dt_359,Full-time,Entry level,4 applicants
359,dt_360,Full-time,Entry level,2 applicants
360,dt_361,NA,NA,51 applicants
361,dt_362,Full-time,Mid-Senior level,Over 100 applicants
362,dt_363,Full-time,Mid-Senior level,Over 100 applicants
363,dt_364,Full-time,NA,27 applicants
364,dt_365,Full-time,Entry level,Over 100 applicants
365,dt_366,Full-time,NA,30 applicants
366,dt_367,Full-time,Associate,87 applicants
367,dt_368,Full-time,Entry level,57 applicants
368,dt_369,Full-time,Entry level,Over 100 applicants
369,dt_370,Full-time,Entry level,Over 100 applicants
370,dt_371,Full-time,Mid-Senior level,61 applicants
371,dt_372,Full-time,Mid-Senior level,Over 100 applicants
372,dt_373,Full-time,Mid-Senior level,33 applicants
373,dt_374,Full-time,Director,57 applicants
374,dt_375,Full-time,Mid-Senior level,14 applicants
375,dt_376,Full-time,NA,NA
376,dt_377,Full-time,Entry level,3 applicants
377,dt_378,Hybrid,Mid-Senior level,Over 100 applicants
378,dt_379,Full-time,Entry level,Over 100 applicants
379,dt_380,Full-time,Mid-Senior level,62 applicants
380,dt_381,Full-time,Associate,Over 100 applicants
381,dt_382,Full-time,Mid-Senior level,69 applicants
382,dt_383,Full-time,Mid-Senior level,Over 100 applicants
383,dt_384,Full-time,Entry level,1 applicant
384,dt_385,Full-time,Entry level,1 applicant
385,dt_386,Full-time,Entry level,0 applicants
386,dt_387,Hybrid,Associate,55 applicants
387,dt_388,Full-time,NA,33 applicants
388,dt_389,Full-time,Mid-Senior level,Over 100 applicants
389,dt_390,Full-time,NA,72 applicants
390,dt_391,Full-time,Mid-Senior level,61 applicants
391,dt_392,Full-time,Associate,59 applicants
392,dt_393,Full-time,Entry level,51 applicants
393,dt_394,Full-time,Associate,Over 100 applicants
394,dt_395,Full-time,Associate,Over 100 applicants
395,dt_396,Full-time,Mid-Senior level,56 applicants
396,dt_397,Full-time,Mid-Senior level,11 applicants
397,dt_398,Full-time,Entry level,2 applicants
398,dt_399,Full-time,Mid-Senior level,6 applicants
399,dt_400,Full-time,Entry level,Over 100 applicants
